sale_id,sale_date,customer_id,product_id,quantity,unit_price,discount_percent,platform,city
S00001,1/4/2026,customer47,P005,5,264000,0,Rubika,Malard
S00001,1/4/2026,customer47,P029,5,584000,0,Rubika,Malard
S00001,1/4/2026,customer47,P083,2,246000,0,Rubika,Malard
S00001,1/4/2026,customer47,P136,1,80000,0,Rubika,Malard
S00001,1/4/2026,customer47,P109,5,647700,15,Rubika,Malard
S00002,9/15/2025,customer236,P085,5,431000,0,Telegram,Fardis
S00002,9/15/2025,customer236,P112,1,88200,10,Telegram,Fardis
S00002,9/15/2025,customer236,P125,4,211000,0,Telegram,Fardis
S00002,9/15/2025,customer236,P036,3,489000,0,Telegram,Fardis
S00003,7/2/2025,customer283,P012,4,243200,5,Rubika,Fardis
S00003,7/2/2025,customer283,P131,2,692100,10,Rubika,Fardis
S00004,8/31/2025,customer138,P110,3,362700,10,Rubika,Malard
S00004,8/31/2025,customer138,P135,4,43200,10,Rubika,Malard
S00004,8/31/2025,customer138,P028,3,499700,5,Rubika,Malard
S00004,8/31/2025,customer138,P051,1,909000,0,Rubika,Malard
S00004,8/31/2025,customer138,P005,4,239000,0,Rubika,Malard
S00005,12/6/2025,customer31,P092,5,672000,20,Rubika,Malard
S00006,9/18/2025,customer142,P045,5,623000,0,Eita,Malard
S00006,9/18/2025,customer142,P059,3,365000,0,Eita,Malard
S00006,9/18/2025,customer142,P132,5,760000,0,Eita,Malard
S00007,2/2/2026,customer455,P109,2,724000,0,Rubika,Karaj
S00007,2/2/2026,customer455,P047,2,913000,0,Rubika,Karaj
S00008,5/4/2025,customer106,P129,5,143000,0,Eita,Malard
S00008,5/4/2025,customer106,P017,5,285600,15,Eita,Malard
S00009,11/29/2025,customer38,P124,3,1514000,0,Rubika,Malard
S00009,11/29/2025,customer38,P130,1,347700,5,Rubika,Malard
S00009,11/29/2025,customer38,P057,3,548000,0,Rubika,Malard
S00010,3/10/2026,customer543,P089,5,684000,0,Eita,Tehran
S00010,3/10/2026,customer543,P031,3,748850,15,Eita,Tehran
S00010,3/10/2026,customer543,P020,1,389000,0,Eita,Tehran
S00010,3/10/2026,customer543,P130,5,364000,0,Eita,Tehran
S00011,1/19/2026,customer500,P098,5,251000,0,Telegram,Tehran
S00011,1/19/2026,customer500,P106,4,581000,0,Telegram,Tehran
S00011,1/19/2026,customer500,P085,2,484000,0,Telegram,Tehran
S00012,4/25/2025,customer493,P071,1,2024000,0,Eita,Tehran
S00012,4/25/2025,customer493,P066,3,381000,0,Eita,Tehran
S00012,4/25/2025,customer493,P070,3,3181000,0,Eita,Tehran
S00012,4/25/2025,customer493,P041,4,296000,0,Eita,Tehran
S00013,9/14/2025,customer429,P029,3,516600,10,Rubika,Karaj
S00013,9/14/2025,customer429,P060,5,222300,10,Rubika,Karaj
S00013,9/14/2025,customer429,P095,3,122000,0,Rubika,Karaj
S00013,9/14/2025,customer429,P042,1,3870900,10,Rubika,Karaj
S00013,9/14/2025,customer429,P043,2,403200,10,Rubika,Karaj
S00014,8/28/2025,customer317,P138,4,199000,0,Telegram,Fardis
S00014,8/28/2025,customer317,P121,1,411000,0,Telegram,Fardis
S00015,4/24/2025,customer590,P122,2,862600,5,Telegram,Safadasht
S00015,4/24/2025,customer590,P105,4,548000,0,Telegram,Safadasht
S00015,4/24/2025,customer590,P074,3,1996200,10,Telegram,Safadasht
S00015,4/24/2025,customer590,P132,5,705000,0,Telegram,Safadasht
S00015,4/24/2025,customer590,P099,4,79200,20,Telegram,Safadasht
S00016,12/28/2025,customer411,P127,1,237000,0,Rubika,Karaj
S00017,4/24/2025,customer489,P077,3,2528900,5,Rubika,Tehran
S00017,4/24/2025,customer489,P076,2,2155600,15,Rubika,Tehran
S00018,4/17/2025,customer456,P008,1,230000,0,Telegram,Tehran
S00018,4/17/2025,customer456,P128,1,351900,10,Telegram,Tehran
S00018,4/17/2025,customer456,P117,2,1062000,0,Telegram,Tehran
S00019,7/24/2025,customer428,P091,5,561000,15,Rubika,Karaj
S00019,7/24/2025,customer428,P079,1,147250,5,Rubika,Karaj
S00020,10/25/2025,customer257,P075,2,1974000,0,Telegram,Fardis
S00020,10/25/2025,customer257,P125,3,182400,5,Telegram,Fardis
S00020,10/25/2025,customer257,P047,3,817000,0,Telegram,Fardis
S00020,10/25/2025,customer257,P005,2,250000,0,Telegram,Fardis
S00021,7/8/2025,customer208,P021,2,427000,0,Eita,Fardis
S00021,7/8/2025,customer208,P094,3,820250,15,Eita,Fardis
S00021,7/8/2025,customer208,P115,2,312000,0,Eita,Fardis
S00022,7/10/2025,customer153,P040,2,397800,10,Telegram,Malard
S00022,7/10/2025,customer153,P039,4,457000,0,Telegram,Malard
S00023,9/30/2025,customer358,P055,2,638100,10,Eita,Karaj
S00023,9/30/2025,customer358,P110,3,386000,0,Eita,Karaj
S00023,9/30/2025,customer358,P116,3,381900,5,Eita,Karaj
S00024,5/30/2025,customer330,P127,2,216750,15,Rubika,Fardis
S00024,5/30/2025,customer330,P075,3,2174000,0,Rubika,Fardis
S00024,5/30/2025,customer330,P079,2,142200,10,Rubika,Fardis
S00024,5/30/2025,customer330,P010,2,519650,5,Rubika,Fardis
