product_id,product_name,category,gender,base_price
P001,Correction_fluid,stationery,unisex,70000
P002,Mechanical_pencil,stationery,unisex,50000
P003,Air_freshener,Home & Living,unisex,298000
P004,headscarf100,Hijab,women,280000
P005,headscarf90,Hijab,women,250000
P006,Trousers_melanj,Clothing,kids,198000
P007,Trousers_span,Clothing,kids,198000
P008,Trousers_cotton,Clothing,kids,230000
P009,Trousers_3line,Clothing,kids,398000
P010,Trousers_galexy,Clothing,kids,550000
P011,Trousers_galexy_big,Clothing,kids,650000
P012,Trousers_cottonbig,Clothing,kids,250000
P013,Trousersjeans,Clothing,kids,798000
P014,Trousersshorts,Clothing,kids,298000
P015,baler,Clothing,kids,798000
P016,Tshirt_LuckBaby,Clothing,kids,350000
P017,Tshirt_Mickey,Clothing,kids,350000
P018,Tshirt_cuban_Coller,Clothing,kids,398000
P019, button_down_shirt,Clothing,kids,398000
P020,Tshirt_qb,Clothing,kids,398000
P021,Tshirt_paper_jeans,Clothing,kids,398000
P022,Tshirt_balenciaga,Clothing,kids,498000
P023,Tshirt_balenciagabig,Clothing,kids,550000
P024,Blouse_and_shorts,Clothing,kids,350000
P025,Tshirts_shorts_bears,Clothing,kids,450000
P026,Tshirts_shorts_spiderman,Clothing,kids,498000
P027,Top_shorts,Clothing,kids,698000
P028,button_shirt_and_shorts,Clothing,kids,530000
P029,Tshirt_and_shorts_Teddy,Clothing,kids,598000
P030,Tshirt_and_shorts_boxi,Clothing,kids,798000
P031,Tshirt_shorts,Clothing,kids,898000
P032,Undershirt,Clothing,kids,150000
P033,Romper,Clothing,kids,350000
P034,Tshirt_flower,Clothing,kids,450000
P035,Sarafan ,Clothing,kids,598000
P036,Top_shorts_heartdesign,Clothing,women,498000
P037,Top_shorts_classical,Clothing,women,498000
P038,Top_shorts_Dior,Clothing,women,498000
P039,Crop_shirt_Leopardprint,Clothing,women,450000
P040,Crop_shirt_Gucchi,Clothing,women,450000
P041,Top_kebriti,Clothing,women,298000
P042,Granite_cookware_set,Home & Living,unisex,4500000
P043,Bugatti_Blouse,Clothing,women,450000
P044,manto_button,Clothing,women,598000
P045,manto_pocketed,Clothing,women,650000
P046,Beach_dress,Clothing,women,698000
P047,Manteau_and_trousers_official,Clothing,women,898000
P048,Manteau,Clothing,women,550000
P049,Aba_lux,Hijab,women,2100000
P050,Aba_elize,Hijab,women,2300000
P051,Orall,Clothing,women,950000
P052,Tshirt_model1,Clothing,Men,598000
P053,Tshirt_Mutti,Clothing,Men,598000
P054,Tshirt_Reebok,Clothing,Men,598000
P055,Polo_shirt,Clothing,Men,698000
P056,Polo_shirt_jodon,Clothing,Men,698000
P057,button_shirt,Clothing,Men,598000
P058,Leopard_print_earrings,Accessories,women,398000
P059,earrings_jouping,Accessories,women,350000
P060,Pearl_earrings,Accessories,women,250000
P061,Gemstone ring,Accessories,women,398000
P062,ring_lux,Accessories,women,350000
P063,bracelet-model1,Accessories,women,350000
P064,bracelet-model2,Accessories,women,350000
P065,Double_strand_pearl_necklace,Accessories,women,298000
P066,pearl_set,Accessories,women,398000
P067,Chador_kerep_model1,Hijab,women,2790000
P068,Chador_kerep_model2,Hijab,women,2990000
P069,Chador_kerep_model3,Hijab,women,3090000
P070,Chador_Kerep_neda,Hijab,women,3390000
P071,Arabian_Chador,Hijab,women,1990000
P072,Arabian_chador_Guipure_lace_sleeve,Hijab,women,2290000
P073,Chador_with_Shal,Hijab,women,2090000
P074,Chador_with_Hat,Hijab,women,2090000
P075,Lebanese_style_chador,Hijab,women,2090000
P076,Lebanese-style chador_kerep,Hijab,women,2390000
P077,Jadde_style_chador,Hijab,women,2690000
P078,Jadde_style_chador_lux,Hijab,women,3190000
P079,Suspenders,Clothing,kids,150000
P080,Leather_belt,Clothing,Men,450000
